año,trimestre,provincia,banda_ancha_fija,dial_up,total
2015,2,Chubut,61.745,1.74,63.485
2015,2,Córdoba,609.510,236.0,609.746
2015,2,Corrientes,83.288,28.0,83.316
2015,2,Entre Ríos,169.309,183.0,169.492
2015,2,Formosa,27.013,37.0,27.050
2015,2,Jujuy,37.720,2.0,37.722
2015,2,La Pampa,63.552,500.0,64.052
2015,2,La Rioja,16.491,18.0,16.509
2015,2,Mendoza,169.259,1.564,170.823
2015,2,Misiones,88.512,7.0,88.519
2015,2,Neuquén,95.644,2.241,97.885
2015,2,Río Negro,97.640,1.087,98.727
2015,2,Salta,98.264,3.0,98.267
2015,2,San Juan,51.367,621.0,51.988
2015,2,San Luis,12.904,317.0,13.221
2015,2,Santa Cruz,25.384,379.0,25.763
2015,2,Santa Fe,545.739,649.0,546.388
2015,2,Santiago Del Estero,39.375,3.0,39.378
2015,2,Tierra Del Fuego,32.960,619.0,33.579
2015,2,Tucumán,140.635,42.0,140.677
2015,1,Buenos Aires,2.847.076,14.766,2.861.842
2015,1,Capital Federal,1.321.139,11.582,1.332.721
2015,1,Catamarca,25.312,20.0,25.332
2015,1,Chaco,81.329,31.0,81.360
2015,1,Chubut,63.327,1.946,65.273
2015,1,Córdoba,596.663,294.0,596.957
2015,1,Corrientes,81.488,43.0,81.531
2015,1,Entre Ríos,165.839,231.0,166.070
2015,1,Formosa,26.657,43.0,26.700
2015,1,Jujuy,36.608,3.0,36.611
2015,1,La Pampa,62.155,542.0,62.697
2015,1,La Rioja,16.310,23.0,16.333
2015,1,Mendoza,168.355,1.805,170.160
2015,1,Misiones,85.139,7.0,85.146
2015,1,Neuquén,93.373,2.369,95.742
2015,1,Río Negro,96.145,1.188,97.333
2015,1,Salta,96.793,18.0,96.811
2015,1,San Juan,51.117,702.0,51.819
2015,1,San Luis,12.878,354.0,13.232
2015,1,Santa Cruz,26.217,424.0,26.641
2015,1,Santa Fe,535.640,797.0,536.437
2015,1,Santiago Del Estero,39.244,8.0,39.252
2015,1,Tierra Del Fuego,32.726,730.0,33.456
2015,1,Tucumán,138.184,92.0,138.276
2014,4,Buenos Aires,2.801.178,15.229,2.816.407
